num,uec256_name,food_id,food_name,energy_kcal,water_g,protein_g,fat_g,fiber_g,carbohydrate_g,sodium_mg,potassium_mg,calcium_mg,magnesium_mg,phosphorus_mg,iron_mg,zinc_mg,copeer_mg,manganess_mg,iodine_ug,selenium_ug,chromium_ug,molybdeum_ug,vitamin_d_ug,vitamin_k_ug,vitamin_b1_mg,vitamin_b2_mg,niacin_mg,vitamin_b6_mg,vitamin_b12_ug,folate_ug,biotin_ug,vitamin_c_mg,,,
58,boiled fish,10155,＜魚類＞　＜さば類＞　まさば　水煮,253,57.4,22.6,22.6,(0),0.3,94,280,7,29,210,1.3,1.1,0.14,0.01,23,66,6,0,4.3,-,0.25,0.30,11.0,0.48,19.0,13,8.5,0,,,
59,seasoned beef with potatoes,18036,和風料理　煮物類　肉じゃが,78,(79.6),(4.3),(1.3),(1.3),(13.0),(480),(210),(13),(14),(44),(0.8),(0.9),(0.07),(0.14),0,(3),(1),(5),0,(3),(0.05),(0.05),(0.9),(0.14),(0.1),(14),(1.4),(9),,,
60,hambarg steak,18050,洋風料理　ハンバーグステーキ類　合いびきハンバーグ,197,(62.8),(13.4),(12.2),(1.1),(10.0),(340),(280),(29),(23),(110),(1.3),(2.4),(0.09),(0.14),(1),(9),(1),(1),(0.2),(7),(0.23),(0.15),(3.0),(0.20),(0.5),(17),(2.5),(2),,,
61,steak,11253,＜畜肉類＞　うし　［乳用肥育牛肉］　ヒレ　赤肉　焼き,238,56.3,27.2,15.2,(0),0.4,74,440,5,28,230,3.5,6.0,0.12,0.01,1,19,1,1,0,6,0.16,0.35,6.2,0.45,4.9,10,3.9,Tr,,,
62,dried fish,10007,＜魚類＞　＜あじ類＞　まあじ　開き干し　焼き,194,60.0,24.6,12.3,(0),0.1,770,350,57,38,270,0.9,0.9,0.10,0.01,-,-,-,-,2.6,(0),0.12,0.14,4.7,0.32,8.5,6,-,(0),,,
63,ginger pork saute,19022,＜和食料理＞　ぶた　しょうが焼き,235,61.9,15.8,15.1,0.4,8.8,390,290,9,21,180,1.1,1.9,0.10,0.20,1,16,2,6,0.2,8,0.70,0.17,9.6,0.41,0.3,7,nan,2,,,
64,spicy chili-flavored tofu,18049,中国料理　菜類　麻婆豆腐,104,(80.0),(7.8),(6.8),(0.7),(3.8),(380),(150),(64),(43),(86),(1.3),(0.9),(0.12),(0.32),(4),(6),(3),(31),(0.1),(6),(0.16),(0.07),(1.1),(0.10),(0.1),(13),(3.7),(1),,,
65,yakitori,11222,＜鳥肉類＞　にわとり　［若どり・主品目］　もも　皮つき　焼き,220,58.4,26.3,13.9,(0),0,92,390,6,29,230,0.9,2.5,0.05,0.01,Tr,29,0,3,0.4,34,0.14,0.24,6.8,0.28,0.5,8,5.6,2,,,
66,cabbage roll,19023,＜和食料理＞　ロールキャベツ,106,80.1,6.8,6.2,1.1,5.6,310,200,29,14,74,0.8,0.8,0.07,0.10,2,7,2,7,0.1,28,0.09,0.09,1.4,0.11,0.3,31,nan,16,,,
67,omelet,12018,鶏卵　たまご焼　厚焼きたまご,146,(71.9),(10.5),(9.2),0,(6.5),(450),(130),(41),(11),(150),(1.3),(0.9),(0.05),(0.03),(540),(22),0,(2),(2.1),(11),(0.06),(0.27),(0.4),(0.08),(1.0),(40),(21.0),0,,,
68,egg sunny-side up,12021,鶏卵　全卵　目玉焼き,205,67.0,14.8,17.6,0,0.3,180,150,60,14,230,2.1,1.4,0.06,0.04,25,35,0,6,3.9,19,0.07,0.41,0.1,0.11,1.2,58,27.0,0,,,
69,natto,04046,だいず　［納豆類］　糸引き納豆,184,59.5,16.5,10.0,9.5,12.1,1,690,91,100,220,3.3,1.9,0.6 ,1.39,Tr,16,1,290,(0),870,0.13,0.30 ,0.6,0.24,Tr,130,18.2,3,,,
70,cold tofu,04033,だいず　［豆腐・油揚げ類］　絹ごし豆腐,56,88.5,5.3,3.5,0.9,2.0,11,150,75,50,68,1.2,0.5,0.16,0.34,1,1,1,69,(0),9,0.11,0.04,0.2,0.06,(0),12,3.5,0,,,
71,egg roll,18056,中国料理　点心類　春巻き,221,42.8,6.0 ,19.3,3.5,30.2,450,170,57,26,73,0.7,0.4,0.08,0.31,6,4,3,21,0.1,22,0.07,0.03,0.7,0.07,Tr,18,3.6,1,,,
72,chilled noodle,01044,こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　ゆで,114,70.0,3.5,0.4,0.9,25.8,85,5,6,5,24,0.2,0.2,0.05,0.12,0,6,1,3,(0),(0),0.02,0.01,0.2,Tr,(0),2,0.4,(0),,,
73,stir-fried beef and peppers,19024,＜和食料理＞　チンジャオロースー,156,72.0,10.2,9.9,1.0,6.5,360,230,16,20,120,1.0,1.2,0.10,0.21,1,10,2,7,0.1,24,0.36,0.15,3.3,0.29,0.2,33,nan,20,,,
74,simmered pork,11125,＜畜肉類＞　ぶた　［大型種肉］　ロース　脂身つき　ゆで,299,51.0,23.9,24.1,(0),0.3,25,180,5,19,140,0.4,2.2,0.06,0.01,Tr,26,3,Tr,0.1,3,0.54,0.16,4.9,0.32,0.6,1,4.3,Tr,,,
75,boiled chicken and vegetables,11226,＜鳥肉類＞　にわとり　［若どり・主品目］　もも　皮なし　ゆで,141,69.1,25.1,5.2,(0),0,56,260,10,25,190,0.8,2.2,0.05,0.01,-,-,-,-,0,25,0.12,0.18,5.3,0.36,0.3,8,-,2,,,
76,sashimi bowl,19025,＜和食料理＞　海鮮どんぶり,136,70.5,10.2,2.0,0.6,18.9,350,210,51,32,160,0.9,1.1,0.18,0.56,38,20,2,8,0.9,10,0.09,0.08,2.7,0.19,1.2,25,nan,2,,,
77,sushi bowl,19026,＜和食料理＞　ちらしずし,146,67.2,8.0,3.3,1.0,21.2,450,160,49,24,110,1.2,0.8,0.11,0.32,15,13,2,8,0.7,17,0.05,0.07,1.4,0.14,0.8,49,nan,2,,,
78,fish-shaped pancake with bean jam,15005,＜和生菓子・和半生菓子類＞　今川焼　こしあん入り,217,(45.5),(4.5),(1.1),(1.4),(48.3),(57),(64),(29),(8),(55),(0.6),(0.3),(0.06),(0.22),(2),(3),(1),(12),(0.3),(2),(0.04),(0.04),(0.2),(0.01),(0.1),(6),(2.3),(0),,,
79,shrimp with chill source,19027,＜和食料理＞　えびチリソース,125,76.6,7.5,5.1,0.9,11.7,460,210,48,25,120,0.7,0.8,0.18,0.11,4,12,2,8,0.1,10,0.05,0.05,0.7,0.12,0.2,40,nan,13,,,
80,roast chicken,11222,＜鳥肉類＞　にわとり　［若どり・主品目］　もも　皮つき　焼き,220,58.4,26.3,13.9,(0),0,92,390,6,29,230,0.9,2.5,0.05,0.01,Tr,29,0,3,0.4,34,0.14,0.24,6.8,0.28,0.5,8,5.6,2,,,
81,steamed meat dumpling,18012,中国料理　点心類　しゅうまい,191,(60.2),(9.1),(9.2),(1.7),(19.5),(520),(260),(26),(28),(92),(0.9),(0.8),(0.12),(0.35),(1),(6),(1),(3),(0.1),(4),(0.16),(0.10),(1.8),(0.15),(0.2),(26),(2.5),(1),,,
82,omelet with fried rice,19028,＜米飯類＞　オムライス,183,67.1,7.2,8.2,0.8,20.2,320,150,30,17,96,1.0,0.7,0.10,0.12,2,9,2,8,0.6,20,0.06,0.13,0.8,0.10,0.4,41,10.1,3,,,
83,cutlet curry,19029,＜米飯類＞　カツカレー,162,65.3,6.3,7.2,1.2,18.0,430,200,24,20,84,0.8,0.7,0.11,0.20,2,6,2,9,0.1,10,0.13,0.08,1.6,0.13,0.1,30,nan,2,,,
84,spaghetti meat sauce,19030,＜洋風料理＞　ミートソース,137,70.8,6.8,5.4,1.3,15.4,320,210,21,21,79,0.8,0.8,0.13,0.16,2,7,3,11,0.1,3,0.09,0.08,1.6,0.12,0.2,24,nan,9,,,
85,fried shrimp,18020,洋風料理　フライ類　えびフライ,236,(50.5),(15.9),(11.6),(1.0),(20.5),(340),(200),(69),(36),(200),(0.6),(1.3),(0.38),(0.18),(4),(18),(1),(2),(0.2),(16),(0.08),(0.05),(2.0),(0.05),(0.6),(22),(3.2),0,,,
86,potato salad,19031,＜サラダ類＞　ポテトサラダ,103,77.5,2.4,5.9,1.5,10.6,260,210,15,14,46,0.3,0.2,0.06,0.14,1,1,1,4,0.0,15,0.08,0.04,0.7,0.08,0.1,28,nan,23,,,
87,green salad,19032,＜サラダ類＞　グリーンサラダ,24,93.4,1.0,0.2,1.2,4.3,20,160,40,14,35,0.3,0.2,0.04,0.13,1,1,1,5,0.0,62,0.05,0.06,0.4,0.08,0.0,76,nan,17,,,
88,macaroni salad,19033,＜サラダ類＞　マカロニサラダ,133,71.0,3.6,8.2,1.1,10.9,320,95,17,13,50,0.4,0.3,0.07,0.12,1,2,1,4,0.1,13,0.06,0.05,0.5,0.06,0.1,21,nan,13,,,
89,Japanese tofu and vegetable chowder,18028,和風料理　汁物類　とん汁,26,(94.4),(1.5),(1.5),(0.5),(2.0),(220),(63),(10),(6),(18),(0.2),(0.2),(0.03),(0.02),0,(1),0,(3),(Tr),(2),(0.03),(0.01),(0.3),(0.03),(0.1),(7),(0.8),(1),,,
90,pork miso soup,18028,和風料理　汁物類　とん汁,26,(94.4),(1.5),(1.5),(0.5),(2.0),(220),(63),(10),(6),(18),(0.2),(0.2),(0.03),(0.02),0,(1),0,(3),(Tr),(2),(0.03),(0.01),(0.3),(0.03),(0.1),(7),(0.8),(1),,,
91,chinese soup,19034,＜スープ類＞　中華スープ,30,92.5,1.7,1.5,0.3,2.6,390,84,14,9,37,0.4,0.2,0.03,0.03,1,4,1,5,0.1,8,0.03,0.06,0.4,0.05,0.1,20,nan,2,,,
92,beef bowl,19035,＜パン類＞　ピザトースト,267,41.9,11.8,12.7,2.5,26.2,600,230,110,28,190,1.2,1.4,0.13,0.29,4,16,3,11,0.2,10,0.19,0.16,2.0,0.12,0.4,50,nan,3,,,
93,kinpira-style sauteed burdock,18033,和風料理　煮物類　きんぴらごぼう,84,(81.6),(1.4),(4.5),(3.2),(11.3),(350),(150),(36),(25),(37),(0.5),(0.4),(0.09),(0.16),0,(1),0,(3),0,(7),(0.03),(0.03),(0.3),(0.07),(Tr),(32),(1.0),(1),,,
94,rice ball,01111,こめ　［うるち米製品］　おにぎり,170,57.0,2.7,0.3,0.4,39.4,200,31,3,7,37,0.1,0.6,0.10,0.38,-,-,-,-,(0),0,0.02,0.01,0.2,0.02,(0),3,-,0,,,
95,pizza toast,19035,＜パン類＞　ピザトースト,267,41.9,11.8,12.7,2.5,26.2,600,230,110,28,190,1.2,1.4,0.13,0.29,4,16,3,11,0.2,10,0.19,0.16,2.0,0.12,0.4,50,nan,3,,,
96,dipping noodles,01048,こむぎ　［中華めん類］　中華めん　ゆで,133,65.0,4.9,0.6,2.8,29.2,70,60,20,7,29,0.3,0.2,0.05,0.18,0,17,Tr,5,(0),-,0.01,0.01,0.2,0,Tr,3,0.5,(0),,,
